time_s,biomass_total,glc__D_e,o2_e,nh4_e,pi_e,h_e,h2o_e,co2_e,ac_e,acald_e,akg_e,etoh_e,for_e,fru_e,fum_e,gln__L_e,glu__L_e,lac__D_e,mal__L_e,pyr_e,succ_e
0.0,10.0,710.464,4.032,1196.4799999999998,4115.84,0.0025472,3552000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.019534878818924,709.5751207609678,4.032000000000004,1196.1384203885764,4115.609555289657,2.2748588084318935,3552000.0,1.1894015261503657,0.46237726645013766,0.0,0.0,0.0,0.5533162732498086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440.0,12.490338463025083,566.0830010059663,4.031999999999998,1139.8159413916305,4077.61192040738,358.8084424622899,3552000.000000018,205.27217965924888,68.44061959565765,0.0,0.0,0.0,81.90704949222061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2880.0,15.83255859819027,386.2903845114521,4.031999999999998,1066.2209693180032,4027.9614979148682,779.20012729185,3552000.000000018,491.90756174476496,136.55355067156398,0.0,0.0,0.0,163.4413894039668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4320.0,20.56920251160382,155.57090172531878,4.031999999999998,968.2642070940528,3961.875534521131,1288.0409062433066,3552000.000000018,895.7135230973527,204.10355879188396,0.0,0.0,0.0,244.3645233856828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5760.0,27.284980577460544,3.700503787086367e-31,4.031999999999998,843.5578291545122,3877.743097511484,1823.7088069025554,3552000.000000018,1467.7293082656183,237.95023421751776,0.0,0.0,0.0,287.41045125514745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200.0,36.80697264060526,8.376319678505805e-101,4.031999999999998,678.7876284889783,3766.581834089343,2436.2001650252914,3552000.000000018,2272.5333858485665,237.95023421751776,0.0,0.0,0.0,293.7379622992055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8640.0,50.30777448718881,1.8960477542024755e-170,4.031999999999998,444.42279890376244,3608.4689565594113,3304.7192983788937,3552000.000000018,3410.461397659013,237.95023421751776,0.0,0.0,0.0,300.06547272890157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10080.0,69.44995067904824,4.2918934940883695e-240,4.031999999999998,111.38289429913715,3383.7855100605448,4536.2486286110725,3552000.000000018,5020.710761798135,237.95023421751776,0.0,0.0,0.0,306.3929825442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11520.0,96.59077627505957,9.7152110165493e-310,4.031999999999998,0.024510277046666223,3064.714666279949,6282.473690273064,3552000.000000018,7300.643198515396,237.95023421751776,0.0,0.0,0.0,312.72049174521294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12960.0,135.07252491123666,0.0,4.031999999999998,0.02451027437152318,2611.8162031031206,8758.462538824266,3552000.000000018,10530.088960060693,237.95023421751776,0.0,0.0,0.0,319.04800033182545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
